orderFulfillment_ID,orderFulfillment_createdDateTime,orderFulfillment_lastModifiedDateTime,order_Id,C_ID,M_ID,D_ID,ComputedDeliveryETA,TotalOrderFulfillmentNotional,NumOffloadersRequired
FL21,31/01/2017 08:30,31/01/2017 08:30,OR21,2BBui,2WWIC87,2LDav,30,,1
FL31,21/06/2017 15:45,21/06/2017 15:45,OR71,4LPea,5HHom73,6LBor,50,,1
FL41,06/07/2017 10:00,06/07/2017 10:00,OR81,8ASan,5HHom73,8ASan,20,,1
FL51,17/03/2017 07:00,17/03/2017 07:00,OR111,5FMan,3HHIT58,8IKow,10,,1
FL61,31/01/2017 08:30,31/01/2017 08:30,OR121,6RBer,5HHom73,6LBor,20,,1
FL71,11/04/2017 07:00,11/04/2017 07:00,OR131,7TLon,2WWIC87,6LBor,5,,1
FL81,06/07/2017 10:00,06/07/2017 10:00,OR141,8ASan,3HHIT60,2LDav,50,,2
FL91,31/01/2017 08:30,31/01/2017 08:30,OR181,9FRib,5HHom63,3AMay,10,,1
FL101,01/06/2017 07:00,01/06/2017 07:00,OR191,10PBea,2WWIC87,6LBor,20,,2
FL111,25/01/2017 07:00,25/01/2017 07:00,OR201,11DMig,2WWIC87,8IKow,15,,2
