categoryId,category,parentCategoryId,isLeaf
1Delivery,Delivery,NONE,TRUE
1Waste,Waste,NONE,FALSE
2Skips,Skips,1Waste,TRUE
2Grab,Grab,1Waste,TRUE
2Cage,Cage,1Waste,TRUE
1Workers,Workers,NONE,FALSE
2Carpenters,Carpenter,1Workers,TRUE
2GroundWorkers,Ground Worker,1Workers,TRUE
2Tiler,Tiler,1Workers,TRUE
2Painter,Painter,1Workers,TRUE
2BrickLayer,Brick Layer,1Workers,TRUE
2Plumber,Plumber,1Workers,TRUE
1Plant,Plant,NONE,FALSE
2AccessLadder,Access & Ladders ,1Plant,FALSE
3Ladder,Ladder,2AccessLadder,TRUE
3StepLadder,Step Ladder,2AccessLadder,TRUE
3Staging,Staging,2AccessLadder,TRUE
3LadderCombination,Ladder Combination,2AccessLadder,TRUE
2BreakingDrilling,Breaking & Drilling ,1Plant,FALSE
3Breaker,Breaker,2BreakingDrilling,TRUE
3Drill,Drill,2BreakingDrilling,TRUE
3CoreDrill,Core Drill,2BreakingDrilling,TRUE
2BuildingSiteworks,Building & Siteworks ,1Plant,TRUE
2CleaningFloorcare,Cleaning & Floorcare ,1Plant,TRUE
2ConcretePreparation,Concreting & Preparation ,1Plant,TRUE
2GardeningEvent,Gardening & Event,1Plant,FALSE
3HandTools,Hand Tools,2GardeningEvent,TRUE
3LawnMowers,Lawn Mowers,2GardeningEvent,TRUE
3TrimmersAndStrimmers,Trimmers and Strimmers,2GardeningEvent,TRUE
3RotovatorsBlowers,Rotavators & Blowers,2GardeningEvent,TRUE
2HeatingDrying,Heating & Drying ,1Plant,TRUE
2LiftingHandling,Lifting & Handling ,1Plant,TRUE
2PaintingDecorating,Painting & Decorating ,1Plant,TRUE
2PlumbingPumping,Plumbing & Pumping ,1Plant,TRUE
2SandingFixing,Sanding & Fixing ,1Plant,TRUE
2CuttingGrinding,Cutting & Grinding ,1Plant,FALSE
3Grinder,Grinder,2CuttingGrinding,TRUE
3Saw,Saw,2CuttingGrinding,TRUE
3TileCutterSaw,Tile Cutters & Saws,2CuttingGrinding,TRUE
3PlanerJointerSplitterRouter,"Planer, Jointer, Splitter & Router",2CuttingGrinding,TRUE
2SurveyingLocation,Surveying & Location ,1Plant,TRUE
2WeldingPower,Welding & Power ,1Plant,TRUE
2Lighting,Lighting ,1Plant,TRUE
2Miscellaneous,Miscellaneous,1Plant,TRUE
